,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
140,140,chickens,infectious bronchitis,the predominant infectious bronchitis virus (ibv) strains detected in chickens in malaysia are the malaysian,,0.0,0.0,the predominant infectious bronchitis virus (ibv) strains detected in chickens in malaysia are the malaysian
141,141,gallus gallus,avian infectious bronchitis,avian infectious bronchitis virus (ibv) is a coronavirus which infects chickens (gallus gallus) of all ages and causes,,0.0,0.0,avian infectious bronchitis virus (ibv) is a coronavirus which infects chickens (gallus gallus) of all ages and causes
142,142,peanut oil,ad,"creams used for treating ad contain peanut oil, and it has been suggested",,0.0,1.0,"creams used for treating ad contain peanut oil, and it has been suggested"
143,143,ginkgo biloba,peripheral vascular disease,"the extract from ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus",DOID:341,0.0,1.0,"the extract from ginkgo biloba leaves has become a very popular plant medicine and herbal supplement for its potential benefit in alleviating symptoms associated with peripheral vascular disease, dementia, asthma and tinnitus"
144,144,almond consumption,cad,reports the effect of almond consumption on ua in cad patients,,0.0,0.0,reports the effect of almond consumption on ua in cad patients
145,145,fat and high-calorie foods,obesity,"also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development",DOID:9970,1.0,0.0,"also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development"
146,146,native olive oil,stroke,"with nuts and/or native olive oil considerably reduces stroke risk by 47% respectively 31%, however not",DOID:6713,0.0,1.0,"with nuts and/or native olive oil considerably reduces stroke risk by 47% respectively 31%, however not"
147,147,vaccinium macrocarpon,urinary tract infections,"will use botanicals for urinary tract infections, especially vaccinium macrocarpon (cranberry), where there is evidence",DOID:13148,0.0,1.0,"will use botanicals for urinary tract infections, especially vaccinium macrocarpon (cranberry), where there is evidence"
148,148,ginger,nausea,vitamin b6 and ginger are both effective for nausea and vomiting in early pregnancy,,0.0,1.0,vitamin b6 and ginger are both effective for nausea and vomiting in early pregnancy
149,149,diet,hypercholesterolemia,"hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes",,1.0,0.0,"hypercholesterolemia, also called high cholesterol, is a form of hyperlipidemia, which may be a consequence of diet, obesity or diabetes"
150,150,fruit of lycium chinense (lc),musculoskeletal diseases,"the fruit of lycium chinense (lc), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine",,0.0,1.0,"the fruit of lycium chinense (lc), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine"
151,151,vegetarian diet,depression,"the consumption of a vegetarian diet with mental health outcomes, specifically depression, anxiety and stress",,0.0,0.0,"the consumption of a vegetarian diet with mental health outcomes, specifically depression, anxiety and stress"
152,152,ginger,diabetes mellitus,"ginger is an important medicinal herb has numerous bioactive components and is used in the management, control and/or treatment of diseases including diabetes mellitus",DOID:9351,0.0,1.0,"ginger is an important medicinal herb has numerous bioactive components and is used in the management, control and/or treatment of diseases including diabetes mellitus"
153,153,high protein diets ,bone loss,"high protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these",,1.0,0.0,"high protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these"
154,154,salmo salar,infectious salmon anaemia,infectious salmon anaemia (isa) can be a serious viral disease of farmed atlantic salmon (salmo salar,,0.0,0.0,infectious salmon anaemia (isa) can be a serious viral disease of farmed atlantic salmon (salmo salar
155,155,diosgenin,axonal atrophy,"diosgenin, a yam-derived compound, was found to facilitate the repair of axonal atrophy and synaptic degeneration and improve",,0.0,1.0,"diosgenin, a yam-derived compound, was found to facilitate the repair of axonal atrophy and synaptic degeneration and improve"
156,156,well-balanced diet,osteoporosis,"as part of a well-balanced diet, may reduce the risk of osteoporosis",DOID:11476,0.0,1.0,"as part of a well-balanced diet, may reduce the risk of osteoporosis"
157,157,almond,allergy,demonstrated that diagnosis of almond allergy based on extract-sige tests display,,1.0,0.0,demonstrated that diagnosis of almond allergy based on extract-sige tests display
158,158,ginger,ailments,ginger (from the rizhome of zingiber officinale roscoe) has been widely used in ethnomedicine for the cure of several ailments,,0.0,1.0,ginger (from the rizhome of zingiber officinale roscoe) has been widely used in ethnomedicine for the cure of several ailments
159,159,ammonia,respiratory symptoms,"high endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in",,1.0,0.0,"high endotoxin, ammonia, and dust levels contribute to acute and chronic respiratory symptoms in people who work in"
160,160,cheese,allergic,"protease, to lessen the allergic properties of bovine milk products and lipase to improve the flavor of the cheese",,0.0,0.0,"protease, to lessen the allergic properties of bovine milk products and lipase to improve the flavor of the cheese"
161,161,beer,memory impairment,"hop-derived bitter components in beer, improve memory impairment in aged and alzheimer's disease",,0.0,1.0,"hop-derived bitter components in beer, improve memory impairment in aged and alzheimer's disease"
162,162,trigonella foenum-graecum,hypoglycemic,"trigonella foenum-graecum (fenugreek) has been reported to have hypoglycemic, hypocholesterolemic, hyperinsulinemic and anti-diabetic properties",,1.0,0.0,"trigonella foenum-graecum (fenugreek) has been reported to have hypoglycemic, hypocholesterolemic, hyperinsulinemic and anti-diabetic properties"
163,163,olives,inflammation,"consumption of olives (olea europaea l.), including table olives and oil, is associated with low incidence of inflammation",,0.0,1.0,"consumption of olives (olea europaea l.), including table olives and oil, is associated with low incidence of inflammation"
164,164,improved nutrition,inflammation,"literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms",,0.0,1.0,"literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms"
165,165,processed meat,type ii diabetes,"the intake of processed meat has been associated with several adverse health outcomes such as type ii diabetes and cancer; however, the mechanisms",DOID:9352,1.0,0.0,"the intake of processed meat has been associated with several adverse health outcomes such as type ii diabetes and cancer; however, the mechanisms"
166,166,chickens,hpai,highly pathogenic avian influenza (hpai) virus subtype h7n3 have been occurring in commercial chickens in mexico since its first,,0.0,0.0,highly pathogenic avian influenza (hpai) virus subtype h7n3 have been occurring in commercial chickens in mexico since its first
167,167,nutrition,ad,"accumulating evidence suggests that nutrition (e.g., via fruit, vegetables, fish) is important for optimizing cognition and reducing risk of ad",,0.0,1.0,"accumulating evidence suggests that nutrition (e.g., via fruit, vegetables, fish) is important for optimizing cognition and reducing risk of ad"
168,168,fruits,allergies,"the prevalence of food allergies during childhood is increasing, with fruits being common allergens",,1.0,0.0,"the prevalence of food allergies during childhood is increasing, with fruits being common allergens"
169,169,cigarette smoke,neurological diseases,"exposure to cigarette smoke (cs) is associated with an increased risk of several neurological diseases such as stroke, alzheimer's disease",,1.0,0.0,"exposure to cigarette smoke (cs) is associated with an increased risk of several neurological diseases such as stroke, alzheimer's disease"
170,170,ultra-processed products ( up ),arterial hypertension,"the consumption of ultra-processed products (up) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma.",,1.0,0.0,"the consumption of ultra-processed products (up) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma."
171,171,salt,cerebrovascular disease,"decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led",DOID:6713,1.0,0.0,"decreasing mortality rates from cerebrovascular disease are thought to reflect the increases in animal foods, milk, and dairy products and consequently in saturated fatty acids and calcium, together with a decrease in salt intake which may have led"
172,172,salt,stone recurrence in hypercalciuric renal stone formers,of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers,,0.0,1.0,of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers
173,173,olive oil,osteoporosis,"the reported incidence of osteoporosis is lower in countries in which the mediterranean diet predominates, and this apparent relationship may be mediated by the phenolic compounds present in olive oil",DOID:11476,0.0,1.0,"the reported incidence of osteoporosis is lower in countries in which the mediterranean diet predominates, and this apparent relationship may be mediated by the phenolic compounds present in olive oil"
174,174,nickel,allergy,nickel is the most common cause of contact allergy in the general population and,,1.0,0.0,nickel is the most common cause of contact allergy in the general population and
175,175,vegetable,nephrolithiasis,biomarkers of fruit and vegetable (fav) intake in nephrolithiasis,DOID:585,0.0,0.0,biomarkers of fruit and vegetable (fav) intake in nephrolithiasis
176,176,allium sativa ( garlic ),intra vascularhaemolytic anaemia,"despite the high acceptability of allium sativa (garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats.",DOID:2355,1.0,0.0,"despite the high acceptability of allium sativa (garlic) as a remedy for many diseases as earlier stated by manyresearchers, previous studies have shown that chronic and unregulated consumption of garlic may result to intra vascularhaemolytic anaemia in rats."
177,177,salt,dehydration,in the setting of dehydration or salt deprivation,,0.0,0.0,in the setting of dehydration or salt deprivation
178,178,low diet quality,micronutrient malnutrition,low diet quality is a driver of general and micronutrient malnutrition in urban and rural areas,,1.0,0.0,low diet quality is a driver of general and micronutrient malnutrition in urban and rural areas
179,179,certain foods,obesity,"portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon",DOID:9970,1.0,0.0,"portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon"
180,180,fresh tomato juice,hypocitraturic recurrent stone formers,fresh tomato juice may be useful in hypocitraturic recurrent stone formers due to its high content,,0.0,1.0,fresh tomato juice may be useful in hypocitraturic recurrent stone formers due to its high content
181,181,dark tea,degenerative diseases,dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases,DOID:1289,0.0,1.0,dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases
182,182,peanut,allergies,tree nuts (tns) and peanut (pn) allergies vary in different regions of,,1.0,0.0,tree nuts (tns) and peanut (pn) allergies vary in different regions of
183,183,dairy products,cardiometabolic diseases,dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases,,1.0,1.0,dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases
184,184,wheat,food allergy,"food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat",,1.0,0.0,"food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat"
185,185,eicosapentaenoic acid,alzheimer's disease,"dha-ethyl esters (dha-ee) in alzheimer's disease (ad); however, eicosapentaenoic acid (epa) has rarely been implicated",DOID:10652,0.0,0.0,"dha-ethyl esters (dha-ee) in alzheimer's disease (ad); however, eicosapentaenoic acid (epa) has rarely been implicated"
186,186,milk,lactose intolerance,vegetarians and consumers with lactose intolerance or allergy to milk proteins,DOID:10604,0.0,0.0,vegetarians and consumers with lactose intolerance or allergy to milk proteins
187,187,eggs,cognitive decline,"intakes of cholesterol and eggs, a major source of dietary cholesterol, with the risk of cognitive decline in general populations or in",,0.0,0.0,"intakes of cholesterol and eggs, a major source of dietary cholesterol, with the risk of cognitive decline in general populations or in"
188,188,fish oil,alzheimer's disease,long-term fish oil (fo) supplementation is able to improve alzheimer's disease (ad) pathology,DOID:10652,0.0,1.0,long-term fish oil (fo) supplementation is able to improve alzheimer's disease (ad) pathology
189,189,contaminated food and water,infections,"the infections are transmitted from contaminated food and water, through the air, direct contact",,0.0,0.0,"the infections are transmitted from contaminated food and water, through the air, direct contact"
190,190,increased olive oil consumption,cardiovascular disease,"increased olive oil consumption is implicated in a reduction in cardiovascular disease, rheumatoid arthritis, and, to a",,0.0,1.0,"increased olive oil consumption is implicated in a reduction in cardiovascular disease, rheumatoid arthritis, and, to a"
191,191,milk,inflammatory bowel disease,a misconception that milk and lactose intolerance increases disease activity in inflammatory bowel disease leads to the exclusion of,DOID:0050589,0.0,0.0,a misconception that milk and lactose intolerance increases disease activity in inflammatory bowel disease leads to the exclusion of
192,192,buckwheat flour,allergy to buckwheat,"were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin",,1.0,0.0,"were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin"
193,193,noni fruit juice,rheumatoid arthritis,"however, the validity of noni fruit juice as a treatment for rheumatoid arthritis (ra), an autoimmune disorder, has",DOID:7148,0.0,0.0,"however, the validity of noni fruit juice as a treatment for rheumatoid arthritis (ra), an autoimmune disorder, has"
194,194,chickens,esophageal trichomoniasis,esophageal trichomoniasis has been rarely reported in chickens,,0.0,0.0,esophageal trichomoniasis has been rarely reported in chickens
195,195,dark chocolate,t2d,"flavanols from cocoa or dark chocolate would constitute a potential preventive tool useful for the nutritional management of t2d, this recommendation should be cautious since most of commercially available soluble cocoa products or chocolates contain low amount of flavanols and are rich in sugar and calories that may aggravate glycaemic control in t2d patients",,0.0,1.0,"flavanols from cocoa or dark chocolate would constitute a potential preventive tool useful for the nutritional management of t2d, this recommendation should be cautious since most of commercially available soluble cocoa products or chocolates contain low amount of flavanols and are rich in sugar and calories that may aggravate glycaemic control in t2d patients"
196,196,chicken,cholera,"the liver of a chicken, which died during an outbreak of fowl cholera in",DOID:1498,0.0,0.0,"the liver of a chicken, which died during an outbreak of fowl cholera in"
197,197,tea,osteoporosis,"tea drinking has positive effects on bone health and may prevent and treat osteoporosis, especially in older and postmenopausal",DOID:11476,0.0,1.0,"tea drinking has positive effects on bone health and may prevent and treat osteoporosis, especially in older and postmenopausal"
198,198,certain foods,asthma,consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and,DOID:2841,0.0,1.0,consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and
199,199,micronutrient powders,anaemia,"home fortification with micronutrient powders (mnp) has been shown to reduce anaemia, with high overall acceptability and",DOID:2355,0.0,1.0,"home fortification with micronutrient powders (mnp) has been shown to reduce anaemia, with high overall acceptability and"
200,200,korean wild boar ( sus scrofa coreanus),mycobacterium tuberculosis infection,the first case of mycobacterium tuberculosis infection in a korean wild boar ( sus scrofa coreanus),,0.0,0.0,the first case of mycobacterium tuberculosis infection in a korean wild boar ( sus scrofa coreanus)
201,201,walnut,allergic reactions,"the major allergen of walnut, triggers severe allergic reactions through epitopes",,1.0,0.0,"the major allergen of walnut, triggers severe allergic reactions through epitopes"
202,202,vegetable-based diet,vcind,"regular health checks, a vegetable-based diet, and more fruit and milk were protective factors for vcind",,0.0,1.0,"regular health checks, a vegetable-based diet, and more fruit and milk were protective factors for vcind"
203,203,welsh onion,abdominal pain,"allium fistulosum (welsh onion) is a traditional medicinal plant used for the treatment of colds, influenza, abdominal pain, headache, and heart disease",,0.0,1.0,"allium fistulosum (welsh onion) is a traditional medicinal plant used for the treatment of colds, influenza, abdominal pain, headache, and heart disease"
204,204,chocolate,chronic diseases,for the association between chocolate intake and risk of chronic diseases is inconclusive,,0.0,0.0,for the association between chocolate intake and risk of chronic diseases is inconclusive
205,205,garlic,cancers,a strong belief that garlic has medicinal properties and may even reduce the risk of developing certain cancers including those of the gastrointestinal,DOID:162,0.0,1.0,a strong belief that garlic has medicinal properties and may even reduce the risk of developing certain cancers including those of the gastrointestinal
206,206,milk,airway obstruction,"vitamin a such as milk, protects against the development of airway obstruction was tested in a subsample",,0.0,1.0,"vitamin a such as milk, protects against the development of airway obstruction was tested in a subsample"
207,207,chicken peripheral,infection,macrophage cell line and chicken peripheral blood mononuclear cell-derived macrophages (pbmcs-ma) were infected with ibv at multiplicity of infection (moi) of,,0.0,0.0,macrophage cell line and chicken peripheral blood mononuclear cell-derived macrophages (pbmcs-ma) were infected with ibv at multiplicity of infection (moi) of
208,208,cigarette smoke,heart disease,"cigarette smoke (cs) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body, leading to heart disease, stroke, lung cancer, and cardiovascular",DOID:114,1.0,0.0,"cigarette smoke (cs) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body, leading to heart disease, stroke, lung cancer, and cardiovascular"
209,209,experimental drug,ra,"as only 10% of experimental drug candidates for treatment of ra that enter phase i trials are eventually registered by the food and drug administration, there is an immediate need for tra",,0.0,1.0,"as only 10% of experimental drug candidates for treatment of ra that enter phase i trials are eventually registered by the food and drug administration, there is an immediate need for tra"
210,210,oncorhynchus kisutch,anaemia,"oncorhynchus mykiss) characterized by anaemia, heart and red muscle pathology; to jaundice syndrome in coho salmon (oncorhynchus kisutch",DOID:2355,0.0,0.0,"oncorhynchus mykiss) characterized by anaemia, heart and red muscle pathology; to jaundice syndrome in coho salmon (oncorhynchus kisutch"
211,211,red yeast rice,blood stasis,red yeast rice is a food fermentation product widely used to promote blood circulation and remove blood stasis,,0.0,1.0,red yeast rice is a food fermentation product widely used to promote blood circulation and remove blood stasis
212,212,fruits,asthma,"fruits (cu) has long been used as a traditional medicine that has therapeutic effects against pathogenic diseases, including asthma, vomiting, dyspepsia, blood circulation disorders",DOID:2841,0.0,1.0,"fruits (cu) has long been used as a traditional medicine that has therapeutic effects against pathogenic diseases, including asthma, vomiting, dyspepsia, blood circulation disorders"
213,213,chicken meat,osteoporosis,proteins and peptides in chicken meat and bones are known for being rich in functional and nutritional ingredients for the improvement of osteoporosis,DOID:11476,0.0,1.0,proteins and peptides in chicken meat and bones are known for being rich in functional and nutritional ingredients for the improvement of osteoporosis
214,214,breast milk iga,nv infection,"however, the role of breast milk iga against nv infection and associated diarrhea is still",,0.0,0.0,"however, the role of breast milk iga against nv infection and associated diarrhea is still"
215,215,whole milk,hypertension,"yet unidentified components in whole milk may protect from hypertension, and folic acid, vitamin b",DOID:10763,0.0,1.0,"yet unidentified components in whole milk may protect from hypertension, and folic acid, vitamin b"
216,216,glutathione-mediated detoxification,mitochondrial dysfunction,"transcriptome pathway analysis highlighted mitochondrial dysfunction and altered fatty acid oxidation as key molecular perturbations associated with zileuton exposure, and suggested that interindividual differences in cytochrome p450 metabolism, glutathione-mediated detoxification, and farnesoid x receptor signaling",,0.0,0.0,"transcriptome pathway analysis highlighted mitochondrial dysfunction and altered fatty acid oxidation as key molecular perturbations associated with zileuton exposure, and suggested that interindividual differences in cytochrome p450 metabolism, glutathione-mediated detoxification, and farnesoid x receptor signaling"
217,217,peanut,food allergies,"the diagnosis of various food allergies, such as allergy to peanut, but not to fish",,0.0,0.0,"the diagnosis of various food allergies, such as allergy to peanut, but not to fish"
218,218,high carbohydrate diets,nephrolithiasis,long term intake of high carbohydrate diets may increase the risk of nephrolithiasis and possibly osteoporosis,DOID:585,1.0,0.0,long term intake of high carbohydrate diets may increase the risk of nephrolithiasis and possibly osteoporosis
219,219,sugar,ad,"the origin of ad is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of ad later in life",,1.0,0.0,"the origin of ad is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of ad later in life"
220,220,bread,glycemic,"bread is a staple food for majority of the people worldwide, but it has a high glycemic effect",,1.0,0.0,"bread is a staple food for majority of the people worldwide, but it has a high glycemic effect"
221,221,calcium,hypercalciuria,"although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake",,1.0,0.0,"although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake"
222,222,zingiber officinale,type diabetes mellitus,zingiber officinale is being used as diet-based therapy because of its wide therapeutic potential in type diabetes mellitus (t2dm) and against diabetic,DOID:9352,0.0,1.0,zingiber officinale is being used as diet-based therapy because of its wide therapeutic potential in type diabetes mellitus (t2dm) and against diabetic
223,223,grass pea,allergic reactions,"although grass pea belongs to the leguminoseae family, allergic reactions to its flour have rarely",,0.0,0.0,"although grass pea belongs to the leguminoseae family, allergic reactions to its flour have rarely"
224,224,malnutrition,cardiovascular disease,"malnutrition is a condition most commonly arising from the inadequate consumption of nutrients necessary to maintain physiological health and is associated with the development of cardiovascular disease, osteoporosis, and sarcopenia",,1.0,0.0,"malnutrition is a condition most commonly arising from the inadequate consumption of nutrients necessary to maintain physiological health and is associated with the development of cardiovascular disease, osteoporosis, and sarcopenia"
225,225,tea polyphenols,cancer,"tea polyphenols are known to prevent various ailments like cancer, atherosclerosis, hypertension and diabetes",,0.0,1.0,"tea polyphenols are known to prevent various ailments like cancer, atherosclerosis, hypertension and diabetes"
226,226,chocolate,obesity,a genetic predisposition to obesity differed in their ability to experience reward from chocolate (in a condition place preference,DOID:9970,0.0,0.0,a genetic predisposition to obesity differed in their ability to experience reward from chocolate (in a condition place preference
227,227,millet,urinary tract stones,"the predominant urinary tract stones in the tribal satpura belt are bladder stones and may be related to poor nutrition, low socioeconomic status and consumption of bajra (millet) as staple food as found",,1.0,0.0,"the predominant urinary tract stones in the tribal satpura belt are bladder stones and may be related to poor nutrition, low socioeconomic status and consumption of bajra (millet) as staple food as found"
228,228,alcoholic beverages,alcohol abuse,"the indulgence of alcoholic beverages in moderation is contrasted by the inestimable risks and dangers of alcohol abuse with many cardiovascular implications, such",DOID:1574,0.0,0.0,"the indulgence of alcoholic beverages in moderation is contrasted by the inestimable risks and dangers of alcohol abuse with many cardiovascular implications, such"
229,229,garlic,colon carcinogenesis,"sulfur compound derived from garlic, has been shown to have protective effects against colon carcinogenesis in several studies performed in",,0.0,1.0,"sulfur compound derived from garlic, has been shown to have protective effects against colon carcinogenesis in several studies performed in"
230,230,eggs,allergic reaction,"eggs and their derived products are common foods that can induce food allergic reaction, especially in children",,1.0,0.0,"eggs and their derived products are common foods that can induce food allergic reaction, especially in children"
231,231,extra virgin olive oil,neurodegenerative disorders,"central nervous system (cns), extra virgin olive oil (evoo) produces interesting effects against neurodegenerative disorders including alzheimer's disease (ad",,0.0,1.0,"central nervous system (cns), extra virgin olive oil (evoo) produces interesting effects against neurodegenerative disorders including alzheimer's disease (ad"
232,232,wheat flour,anaemia,fortification of wheat flour is deemed a useful strategy to reduce anaemia in populations,DOID:2355,0.0,1.0,fortification of wheat flour is deemed a useful strategy to reduce anaemia in populations
233,233,dairy cows,mastitis,of the most common mastitis-causing bacteria in dairy cows,DOID:10690,0.0,0.0,of the most common mastitis-causing bacteria in dairy cows
234,234,fruit,urolithiasis,"regarding food, intake of fruit correlated negatively with the incidence of urolithiasis (r = -0.721, p = 0.008), while intake",DOID:0080653,0.0,1.0,"regarding food, intake of fruit correlated negatively with the incidence of urolithiasis (r = -0.721, p = 0.008), while intake"
235,235,reduction of food consumption,infectious bronchitis,"the clinical signs of infectious bronchitis including gasping, coughing and nasal discharge, wet eyes, swollen sinuses, reduction of food consumption and weight gain",,0.0,0.0,"the clinical signs of infectious bronchitis including gasping, coughing and nasal discharge, wet eyes, swollen sinuses, reduction of food consumption and weight gain"
236,236,capsicum,hyperglycemia,all evaluated pepper (capsicum) genus exhibited both anti-hyperglycemia and anti-hypertension potential,DOID:4195,0.0,1.0,all evaluated pepper (capsicum) genus exhibited both anti-hyperglycemia and anti-hypertension potential
237,237,milk,allergies,"allergies to peanuts are particularly worrisome as unlike allergies to other allergenic foods, such as milk and egg, which are commonly outgrown by or years of age, 80% of peanut allergies persist into adulthood",,1.0,0.0,"allergies to peanuts are particularly worrisome as unlike allergies to other allergenic foods, such as milk and egg, which are commonly outgrown by or years of age, 80% of peanut allergies persist into adulthood"
238,238,breadfruit,diabetes,breadfruit is a traditional staple crop from pacific islands with the potential to improve worldwide food security and mitigate diabetes,DOID:9351,0.0,1.0,breadfruit is a traditional staple crop from pacific islands with the potential to improve worldwide food security and mitigate diabetes
239,239,fruit,coronary heart disease,fruit and vegetable (fv) intake is recommended for the prevention of coronary heart disease (chd,DOID:3393,0.0,1.0,fruit and vegetable (fv) intake is recommended for the prevention of coronary heart disease (chd
240,240,ginger root,carcinogenic,"major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated",,0.0,1.0,"major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated"
241,241,"butter flavoring additive , diacetyl ( da )",bronchiolitis obliterans,"the butter flavoring additive, diacetyl (da), can cause bronchiolitis obliterans (bo) by inhalation.",DOID:2799,1.0,0.0,"the butter flavoring additive, diacetyl (da), can cause bronchiolitis obliterans (bo) by inhalation."
242,242,chicken,avian infectious bronchitis,avian infectious bronchitis virus (ibv) and avian pathogenic escherichia coli (apec) are two important respiratory pathogens in the chicken,,0.0,0.0,avian infectious bronchitis virus (ibv) and avian pathogenic escherichia coli (apec) are two important respiratory pathogens in the chicken
243,243,wheat,baker's rhinitis,baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in,,1.0,0.0,baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in
244,244,blueberries,obesity-linked metabolic diseases,"blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects",,0.0,1.0,"blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects"
245,245,cereals,hypersensitivity,hypersensitivity to cereals may occur via inhalation or,DOID:1205,1.0,0.0,hypersensitivity to cereals may occur via inhalation or
246,246,gambogic acid,osteoporosis,"d curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis",DOID:11476,0.0,1.0,"d curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis"
247,247,grape seed procyanidin b2 ( gspb2 ) ,hepatic damage of diabetes ,our previous studies have verified that grape seed procyanidin b2 (gspb2) played a protective effect on hepatic damage of diabetes.,,0.0,1.0,our previous studies have verified that grape seed procyanidin b2 (gspb2) played a protective effect on hepatic damage of diabetes.
248,248,fruit consumption,cardiovascular disease,"a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about",,0.0,1.0,"a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about"
249,249,breast milk,infections,breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses,,0.0,1.0,breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses
250,250,diets rich in (poly)phenols,cardiovascular disorders,diets rich in (poly)phenols are associated with a reduced reduction in the incidence of cardiovascular disorders,,0.0,1.0,diets rich in (poly)phenols are associated with a reduced reduction in the incidence of cardiovascular disorders
251,251,eucalyptus oil,bronchitis,"the major constituent of eucalyptus oil (eo), was used in traditional medicine as a remedy for colds and bronchitis",DOID:6132,0.0,1.0,"the major constituent of eucalyptus oil (eo), was used in traditional medicine as a remedy for colds and bronchitis"
252,252,curcuma longa,wound,"occurring polyphenol found in curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects",,0.0,1.0,"occurring polyphenol found in curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects"
253,253,fruit of alpinia oxyphylla,dementia,the fruit of alpinia oxyphylla is often used in traditional chinese medicine to treat dementia and memory defects,DOID:1307,0.0,1.0,the fruit of alpinia oxyphylla is often used in traditional chinese medicine to treat dementia and memory defects
254,254,mushrooms,alzheimer's disease,mushrooms have been reported in folklore for the management of alzheimer's disease (ad) and diabetes with limited,DOID:10652,0.0,1.0,mushrooms have been reported in folklore for the management of alzheimer's disease (ad) and diabetes with limited
255,255,dietary sugar,dental caries,"dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type diabetes",DOID:216,1.0,0.0,"dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type diabetes"
