sentence,label
recent study cardiovascular outcome among patient tdm clearly shown sodiumglucose cotransporter sglt inhibitor empagliflozin canagliflozin dapagliflozin cardiorenal protective effect apart glucoselowering effect,0
current experimental study support beneficial role extravirgin olive oil evoo several inflammatory disease,0
the hypothesis vitamin food rich vitamin milk protects development airway obstruction tested subsample data national health nutrition examination survey,0
however validity noni fruit juice treatment rheumatoid arthritis ra autoimmune disorder confirmed yet,0
asthma could induced inhaled flour exposure allergen present bakery product,1
wheat potent allergen source one cause baker asthma food pollen allergy,1
milk milk product prevent bone loss pre postmenopausal woman,0
evidence support protective effect garlic stomach colorectal breast cancer human,0
exposure cigarette smoke cs associated increased risk several neurological disease stroke alzheimer disease dementia,1
respondents overweight aor ci khat chewing aor ci low fruit andor vegetable consumption aor ci use coffee tea aor ci significantly higher likelihood hypertension,0
pasteurella multocida cause fowl cholera highly contagious severe disease chicken water fowl,0
flavonoids compound found plantbased food beverage might ameliorate vascular damage atherosclerosis,0
in study hd chicken macrophage cell line chicken peripheral blood mononuclear cellderived macrophage pbmcsma infected ibv multiplicity infection moi,0
we present case recurrent allergic contact dermatitis acd lasted month patient retrospectively correlated new lesion appearance consumption specific type beer bread,0
however milk food high nutritional value complete exclusion dairy product may favor development bone disease osteopenia osteoporosis,0
in short study demonstrated sfp could developed functional food pharmaceutical supplement prevention mitigation diabetes complication,0
poor dietary habit contribute obesity pandemic related cardiovascular disease respective impact high saturated fat versus added sugar consumption remains debated,0
rates osteoporosis significantly lower region world olive oil consumption dietary cornerstone,0
the result paraguariensis infusion made ° ° show significant difference temperature preparing tea infusion relation presence al methylxanthines phenolic compound flavonoid,0
milk dairy product containing milk fat major food source saturated fatty acid linked increased risk cardiovascularrelated clinical outcome cardiovascular disease cvd coronary heart disease chd stroke,1
recently oleocanthal isolated extra virgin olive oil found display nonsteroidal antiinflammatory drug activity similar ibuprofen drug widely used therapeutic management joint inflammatory disease,0
fruit cu long used traditional medicine therapeutic effect pathogenic disease including asthma vomiting dyspepsia blood circulation disorder various type cancer,0
cyanidinglucoside cg black rice reported hypoglycemic effect antiosteoporosis effect diabetic rat,1
some study shown potential role grape wine slowing cognitive decline effect aging,0
it hypothesized chicken eggshell membrane em effective regeneration cartilage andor immunomodulation oral tolerance relief pain stiffness joint commonly affected arthritis,0
aluminium al neurotoxin lately implicated one possible causal factor contributing alzheimer disease,0
nuts appreciable antioxidant load evidence positive effect several chronic disease incidence death rate,0
among dietary habit especially excessive salt typical processed food implicated development autoimmune disease,1
we also showed moderate consumption wine associated lower risk developing ad,0
numerous epidemiological study revealed high consumption milk dairy product may protective effect coronary heart disease chd stroke diabetes certain cancer colorectal bladder cancer dementia although mechanism action unclear,0
three recent metaanalyses found significant prospective inverse association chocolate intake cardiovascular disease risk,0
allergies peanut particularly worrisome unlike allergy allergenic food milk egg commonly outgrown year age peanut allergy persist adulthood,1
body weight gain food consumption efficiency food utilization significantly reduced male dose group animal sex group change hematology clinical chemistry urinalysis parameter indicative renal damage,0
the fruit terminalia chebula used extensively various traditional health system different ailment additional preclinical clinical data demonstrating antioxidant antiinflammatory potential,0
infectious bronchitis virus ibv gammacoronavirus cause infectious bronchitis ib major respiratory disease chicken,0
ginger important medicinal herb numerous bioactive component used management control andor treatment disease including diabetes mellitus,0
onion allium cepa handling induce contact dermatitis rhinoconjunctivitis asthma,1
ginsenosiderb rb major active component ginseng many benefit cardiovascular disease diabetes mellitus dm effect mechanism diabetic cardiomyopathy clear,0
accumulating epidemiological study indicated consuming fruit inversely related risk cvds,0
in beer variety concentration bioactive compound nonalcoholic fraction suggests consumption moderate level may harmless could also positively contribute improvement certain physiological state also useful prevention different chronic disease,0
ginger shown prominent protective effect diabetic liver kidney eye neural system complication,0
tea cultivated around world polysaccharide component reported effective approach managing type diabetes fewer adverse effect medication,0
staphylococcus aureus leading cause clinical mastitis associated persistent subclinical infection ewe significantly compromising quality quantity milk production,0
epidemiological evidence indicates high dietary intake plant allium family garlic onion associated decreased risk cancer human,0
iii evaluate extent candidate aetiological factor mitochondrial complex inhibitor annonacin contained fruit leaf tropical plant annona muricata soursop play role neurological syndrome,0
taraxacum officinale commonly called dandelion used century natural medicine treat inflammatory disease including metabolic alteration associated obesity,0
efficiency milk dairy product treatment obesity sclerosis hypertension proved dash diet,0
in gaza strip million palestinians reside high prevalence anemia multiple micronutrient deficiency mnds including iron zinc vitamin,0
the preventive effect highdose regularfish oil fo bone loss aging demonstrated effect lowdose highly purified concentrated fo cfo elucidated,0
historically lowcarbohydrate cho verylowcho diet used weight loss,1
the mandatory fortification enriched cereal grain eg wheat flour folic acid began united states example successful intervention significantly reduced rate neural tube defect ntds,0
previous evidence suggested extravirgin olive oil evoo linked attenuating amyloidbeta abeta pathology improving cognitive function alzheimer disease ad mouse model,0
we report case igemediated hypersensitivity lemon seed,0
however evidence literature stating blueberry avoided individual glucosephosphate dehydrogenase gpd deficiency,1
in flock comprising almost white plymouth rock bird producing hatching egg infectious bronchitis ib caused decline production appeared connected age bird outbreak started table,0
laboratory study provided evidence allium vegetable garlic supplement might protect colorectal cancer crc epidemiologic study produced inconsistent finding,0
observational study showed inverse association milk consumption knee osteoarthritis knee oa,0
migraine attack produced frequently cow milk patient cabbage flour egg patient preservative cottage swiss cheese porcine meat patient colorants chocolate patient beef strawberry lemon butter patient,1
curcuma longa cl turmeric ayurvedic herb traditionally used treat inflammatory condition like rheumatoid arthritis ra,0
polyphenols coffee guava tea whortleberry olive oil propolis chocolate red wine grape seed cocoa reported show antidiabetic effect td patient increasing glucose metabolism improving vascular function well reducing insulin resistance hbac level,0
the phenolic compound extravirgin olive oil act various level protect individual cardiovascular neurodegenerative disease cancer osteoporosis among others,0
patients ra commonly use gastrointestinal gi protective drug treatment prevention drugassociated gi injury,0
based observation investigator believe long term intake high carbohydrate diet may increase risk nephrolithiasis possibly osteoporosis,1
omega fatty acid omegafas docosahexaenoic acid dha eicosapentanoic acid epa active ingredient fish oil larger health benefit various disease including cardiovascular neurodegenerative cancer bone disease,0
in vitro cell culture vivo animal osteoporosis model demonstrated potential seafoodderived sbps including fish mollusk crustacean seaweed microalgae preventing osteoporosis,0
allium fistulosum welsh onion traditional medicinal plant used treatment cold influenza abdominal pain headache heart disease,0
saffron antiinflammatory effect may beneficial effect asthma,0
biologically active peptide milk protein used effective dietary supplement management boneassociated issue including osteoporosis,0
epidemiological study shown higher sugarsweetened beverage consumption associated increased risk developing chronic disease including cardiovascular disease type diabetes mellitus obesity nonalcoholic fatty liver disease gout rheumatoid arthritis worse symptom patient rheumatoid arthritis,1
high educational level vegetablebased diet tea protective factor vd,0
polyphenols olive oil oo virgin olive oil voo extra virgin olive oil contribute essential role management cvds,0
hypersensitivity cereal may occur via inhalation ingestion,1
blueberry consumption prevent obesitylinked metabolic disease proposed polyphenol content blueberry may contribute effect,0
the present review summarize current knowledge potential cancer preventive effect apple apple juice apple extract jointly designated apple product,0
citrus unshiu rutaceae easypeeling citrus fruit used traditional korean medicine improving skin elasticity relieving fatigue cough preventing bronchitis flu various cancer,0
dark tea significant effect prevention treatment agerelated degenerative disease,0
chicken protein hydrolysate cphs generated rest raw material enzymatic hydrolysis using corolase pp alcalase shown reduce inflammation stimulate hepatic mitochondrial fatty acid oxidation highfatfed mouse,0
omega polyunsaturated fatty acid pufas docosahexaenoic acid dha eicosapentaenoic acid epa reported prevent neurodegenerative disease alzheimer disease ad experimental clinicalepidemiological study,0
within family coronaviridae embryonated egg used host system primarily two avian coronaviruses within genus gammacoronavirus infectious bronchitis virus ibv turkey coronavirus tcov,0
it suggested recurrent inhalation milk food consequent upon disordered oesophageal motility major factor causing respiratory complication,1
various human study suggested diet higher intake vegetable fruit play role prevention kidney stone,0
aeromonas salmonicida isolated ulceration common dab limanda limanda,0
oil tea traditionally used minority population china treating various ailment traditional chinese medicine,0
allergen glb important allergen rice cause allergic reaction asthma atopic dermatitis,1
recent study suggest dietary virgin olive oil reduces hypoxiareoxygenation injury rat brain,0
the fruit alpinia oxyphylla often used traditional chinese medicine treat dementia memory defect,0
numerous animal vitro study provided evidence relation garlic intake cancer risk reduction,0
peanut allergy affect north american child increased prevalence past year often diagnosed early life outgrown fewer child age,1
